"ID","아파트명","지번주소","세대수","임대수","동수","용적률","건폐율","주차대수"
"14748","강남태영데시앙루브","서울 서초구 서초동 1303-35",50,0,2,796,59,142
"17533","강남파라곤","서울 강남구 논현동 241-1",58,0,1,789,58,41
"104039","강남한솔","서울 강남구 역삼동 794-19",12,0,1,249,48,11
"109107","강남한신휴플러스6단지","서울 강남구 율현동 336",378,234,12,120,21,0
"109555","강남한신휴플러스8단지","서울 강남구 율현동 서울세곡2보금자리8블럭",169,114,11,74,24,208
"107458","강남한양수자인","서울 강남구 자곡동 세곡2보금자리주택지구4블럭",1304,653,26,150,24,1637
"109022","강남효성해링턴코트","서울 강남구 세곡동 541",199,0,11,99,39,349
"122378","강남IBC(도시형)","서울 강남구 역삼동 648-1",137,0,1,609,55,71
"103602","강남LH1단지(e편한세상)","서울 강남구 세곡동 579",809,0,12,173,19,998
"25469","강동","서울 강서구 화곡동 29-79",9,0,1,299,59,7
"8923","강동네스빌","서울 강동구 성내동 444-4",38,0,1,289,41,27
"106802","강동다온채","서울 강동구 성내동 447-2",19,0,1,195,36,25
"119039","강동디앤써밋(도시형)","서울 강동구 길동 320-2",40,0,2,302,36,23
"107448","강동렘브란트(도시형)","서울 강동구 길동 457-1",89,0,1,536,57,23
"22570","강동롯데캐슬퍼스트","서울 강동구 암사동 414-2",3226,0,40,276,13,4596
"127671","강동리버스트4단지","서울 강동구 강일동 114",1239,597,10,0,0,1154
"18604","강동상떼빌","서울 강동구 천호동 450",110,0,1,627,49,150
"19345","강동시가오똠","서울 강동구 길동 334-3",36,0,2,0,0,39
"14365","강동역두산위브센티움","서울 강동구 천호동 155-5",140,0,1,599,49,165
"105574","강동역신동아파밀리에","서울 강동구 천호동 447-17",230,0,2,451,29,300
"19246","강동역SK허브","서울 강동구 길동 445-1",94,0,1,896,49,175
"105877","강동와이시티(도시형)","서울 강동구 길동 414-4",216,0,1,596,53,51
"22988","강동이루미","서울 강동구 천호동 46",74,0,2,233,26,86
"105870","강동큐브2차(도시형)","서울 강동구 길동 415-13",236,0,1,602,59,52
"107101","강동파크빌","서울 강동구 천호동 450-38",9,0,1,283,58,8
"113312","강동팰리스(도시형)","서울 강동구 길동 228-5",20,0,2,234,49,15
"22116","강동한신휴플러스","서울 강동구 길동 414-10",124,0,1,519,59,192
"9682","강동현대홈타운","서울 강동구 암사동 400",568,0,9,277,14,682
"103479","강동QV1차(도시형)","서울 강동구 길동 456-3",91,0,1,599,51,23
"13791","강림스위트빌","서울 서대문구 홍은동 195-8",28,0,3,0,0,26
"14248","강림스위트빌","서울 마포구 망원동 508",48,0,1,247,23,50
"8832","강림월드타운","서울 마포구 중동 36-29",48,0,1,299,33,47
"1223","강변","서울 용산구 이촌동 193-3",146,0,4,0,0,146
"27783","강변","서울 광진구 구의동 198-5",23,0,1,285,56,23
"511","강변","서울 서초구 잠원동 53-15",360,0,4,243,16,324
"1346","강변3단지","서울 강서구 가양동 1475",1556,0,12,212,0,616
"3418","강변건영","서울 성동구 성수동1가 710",580,0,6,301,20,660
"22537","강변그대가","서울 강동구 천호동 568",225,0,5,229,22,269
"26140","강변그대가갤럭시","서울 강동구 천호동 570",134,0,3,221,20,175
"13920","강변그린","서울 마포구 용강동 495-1",60,0,2,0,0,0
"3528","강변금호타운","서울 성동구 성수동2가 830",108,0,2,211,34,75
"2982","강변래미안","서울 영등포구 당산동 376",801,0,13,336,27,1013
"122383","강변리치빌(도시형)","서울 영등포구 당산동6가 233-1",26,0,1,249,59,8
"128883","강변리치빌Ⅱ","서울 영등포구 당산동6가 216-1",16,0,1,249,51,10
"24411","강변벽산빌라트","서울 성동구 옥수동 191-3",11,0,1,293,48,13
"8404","강변삼부","서울 강남구 삼성동 99-12",48,0,1,336,33,70
"1222","강변삼성스위트","서울 용산구 원효로4가 178",300,0,3,358,23,306
"104069","강변상지리츠빌","서울 강남구 청담동 106-17",12,0,1,397,57,28
"3100","강변성원","서울 강서구 염창동 295",297,0,3,358,29,349
"13256","강변아이파크","서울 광진구 자양동 809",83,0,1,294,23,96
"79","강변우성","서울 광진구 구의동 546-7",354,0,3,323,20,354
"3529","강변임광","서울 성동구 성수동2가 609-2",141,0,2,264,26,142
"15648","강변청구(102동)","서울 성동구 성수동2가 745",47,0,1,383,41,44
"25913","강변코아루","서울 강서구 염창동 303",130,0,3,249,26,181
"9404","강변타운","서울 마포구 망원동 490",41,0,1,230,42,44
"13977","강변한솔그라치아","서울 영등포구 당산동 121-41",19,0,1,299,58,29
"9364","강변한솔솔파크","서울 강서구 염창동 300",455,0,8,236,18,530
"3295","강변한신코아","서울 마포구 마포동 350",88,0,1,648,37,0
"550","강변현대","서울 성동구 성수동2가 400",123,0,2,316,24,104
"642","강변현대","서울 송파구 풍납동 299-1",104,0,1,233,0,132
"10638","강변현대하이엘","서울 광진구 구의동 547",67,0,1,593,55,117
"8492","강변힐스테이트","서울 마포구 현석동 222",510,0,10,219,18,588
"9161","강변힐스테이트","서울 강서구 염창동 299",417,0,7,248,18,463
"109358","강변SK뷰","서울 광진구 구의동 667",197,20,2,396,52,235
"1198","강산","서울 양천구 목동 758-1",19,0,1,373,47,34
"3139","강서","서울 강서구 등촌동 517-39",18,0,1,196,38,17
"861","강서","서울 용산구 이촌동 193-5",32,0,2,0,0,23
"136009","강서2차크라운팰리스(도시형)","서울 강서구 화곡동 1070-11",28,0,2,296,30,15
"103209","강서뉴","서울 강서구 화곡동 918-12",15,0,1,287,59,12
"105453","강서뉴타워","서울 강서구 화곡동 1071-19",122,0,1,333,45,170
"103897","강서동도센트리움(도시형)","서울 강서구 화곡동 1161",138,0,1,779,54,51
"27330","강서센트레빌3차","서울 강서구 방화동 893",147,0,3,0,0,163
"27329","강서센트레빌4차","서울 강서구 공항동 1374",215,21,3,249,24,244
"104395","강서신지타워","서울 강서구 화곡동 42-11",19,0,1,192,35,27
"104780","강서쌍용예가","서울 강서구 염창동 308",152,0,4,249,22,191
"15301","강서아이파크","서울 강서구 화곡동 980-21",96,0,1,595,59,148
"18215","강서월드메르디앙","서울 강서구 내발산동 659-1",160,0,3,249,25,247
"128105","강서크라운팰리스","서울 강서구 화곡동 998-5",72,0,1,799,59,37
"136503","강서파크뷰투웨니퍼스트(도시형)","서울 강서구 화곡동 24-18",21,0,1,799,54,0
"18974","강서한강월드메르디앙","서울 강서구 가양동 1462",144,0,1,199,15,183
"103293","강서한강자이","서울 강서구 가양동 1500",790,81,10,297,20,1213
"103305","강서힐스테이트","서울 강서구 화곡동 1165",2603,0,37,259,22,4418
"23641","강성레스트빌","서울 강서구 내발산동 717-20",36,0,1,239,30,41
"18518","강오","서울 중랑구 중화동 307-76",37,0,2,0,0,50
"27482","강일리버파크10단지","서울 강동구 강일동 695",694,470,12,177,17,798
"27367","강일리버파크1단지","서울 강동구 강일동 665",282,106,7,116,17,327
"27475","강일리버파크2단지","서울 강동구 강일동 668",442,268,9,152,16,571
"27474","강일리버파크3단지","서울 강동구 강일동 674",987,615,13,173,17,1105
"27476","강일리버파크4단지","서울 강동구 강일동 673",748,470,10,179,17,831
"27477","강일리버파크5단지","서울 강동구 강일동 670",722,432,9,170,15,814
"27478","강일리버파크6단지","서울 강동구 강일동 684",553,323,10,164,16,631
"27479","강일리버파크7단지","서울 강동구 강일동 686",731,455,11,179,17,819
"27480","강일리버파크8단지","서울 강동구 강일동 701",410,206,9,144,18,465
"27481","강일리버파크9단지","서울 강동구 강일동 699",841,737,13,163,15,980
"761","강촌","서울 용산구 이촌동 402",1001,0,9,339,23,1066
"114637","강호","서울 중랑구 면목동 624-5",10,0,1,204,57,9
"3837","개나리","서울 중랑구 망우동 213-3",78,0,1,0,0,78
